post_id,text,post_text,time
2615376578732473,"🔴 La Jirama Toamasina est en plein travaux d’urgences en vue de l’amélioration de l’alimentation en électricité dans cette ville. Les interventions pourraient engendrer des coupures de l’approvisionnement dans les quartiers suivants ce jeudi 18 juin, de 08H00 à 16H00 : Mangarano, Ambodisain et Barikadimy.
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/","🔴 La Jirama Toamasina est en plein travaux d’urgences en vue de l’amélioration de l’alimentation en électricité dans cette ville. Les interventions pourraient engendrer des coupures de l’approvisionnement dans les quartiers suivants ce jeudi 18 juin, de 08H00 à 16H00 : Mangarano, Ambodisain et Barikadimy.
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/",2020-06-18 07:00:24
2615386865398111,"🔵 Le Président de la Guinée-Bissau, Umaro Sissoco Embalo, a indiqué que le tambavy Covid Organics est efficace et a guéri des malades dans son pays.
« Il y a des malades qui ont été guéris grâce à ce remède en en faisant usage sans prendre d’autres médicaments. On a fait trois fois les tests. Je peux dire que ce médicament fonctionne très bien » a-t-il expliqué.
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/","🔵 Le Président de la Guinée-Bissau, Umaro Sissoco Embalo, a indiqué que le tambavy Covid Organics est efficace et a guéri des malades dans son pays.
« Il y a des malades qui ont été guéris grâce à ce remède en en faisant usage sans prendre d’autres médicaments. On a fait trois fois les tests. Je peux dire que ce médicament fonctionne très bien » a-t-il expliqué.
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/",2020-06-18 05:00:14
2615399242063540,"⚽️ Le football reprend aussi en France. Le Barea Thomas Fontaine a publié une photo de lui dans les vestiaires du FC Lorient. Le défenseur international malgache retrouve ses coéquipiers en club pour la première fois depuis la fin du confinement dans l'Hexagone.
🔴 ""Reprise de l'entraînement aujourd'hui avec les mesures sanitaires. Ça fait du bien de retrouver le vestiaire après tant de semaines"", a-t-il posté sur les réseaux sociaux. Il retrouvera notamment un coéquipier en sélection, Jeremy Morel, qui s'est engagé avec le FC Lorient.
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/","⚽️ Le football reprend aussi en France. Le Barea Thomas Fontaine a publié une photo de lui dans les vestiaires du FC Lorient. Le défenseur international malgache retrouve ses coéquipiers en club pour la première fois depuis la fin du confinement dans l'Hexagone.
🔴 ""Reprise de l'entraînement aujourd'hui avec les mesures sanitaires. Ça fait du bien de retrouver le vestiaire après tant de semaines"", a-t-il posté sur les réseaux sociaux. Il retrouvera notamment un coéquipier en sélection, Jeremy Morel, qui s'est engagé avec le FC Lorient.
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/",2020-06-18 02:00:25
2615364592067005,"✈️ Des ressortissants suisses bloqués à Madagascar ont pu embarquer ce mercredi à bord d'un vol spécial Ethiopian Airlines affrété par la société Ambatovy.
🔵 L'ambassade de Suisse à Madagascar précise que les liaisons d'Addis Abeba vers l'Europe et la Suisse sont assurées.
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/","✈️ Des ressortissants suisses bloqués à Madagascar ont pu embarquer ce mercredi à bord d'un vol spécial Ethiopian Airlines affrété par la société Ambatovy.
🔵 L'ambassade de Suisse à Madagascar précise que les liaisons d'Addis Abeba vers l'Europe et la Suisse sont assurées.
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/",2020-06-17 23:30:00
2615351662068298,"🔴 Le Président Andry Rajoelina a réitéré son soutien aux entrepreneurs et acteurs du secteur privé. Le plan économique multisectoriel d’urgence s’articulera sur trois axes stratégiques :
1️⃣ le renforcement de la gouvernance et la lutte contre la pandémie
2️⃣ le renforcement des mesures relatives à la protection sociale
3️⃣ le soutien à la résilience économique pour une relance efficiente.
Cliquez sur l'image pour lire la suite 👇
ACTU.ORANGE.MG
Un plan économique multisectoriel d’urgence sur trois axes","🔴 Le Président Andry Rajoelina a réitéré son soutien aux entrepreneurs et acteurs du secteur privé. Le plan économique multisectoriel d’urgence s’articulera sur trois axes stratégiques :
1️⃣ le renforcement de la gouvernance et la lutte contre la pandémie
2️⃣ le renforcement des mesures relatives à la protection sociale
3️⃣ le soutien à la résilience économique pour une relance efficiente.
Cliquez sur l'image pour lire la suite 👇",2020-06-17 22:41:03
2615292765407521,"🔥🔥🔥 A l'occasion de la rencontre entre le Président Andry Rajoelina et les membres du secteur privé ce mercredi, le Premier ministre Christian Ntsay a annoncé quelques mesures dans le cadre du soutien aux entreprises. Parmi ces mesures :
➡️ Suspension de l'acompte provisionnel au titre de l'impôt sur le revenu, de l'IRSA et de la TVA. Les déclarations doivent en revanche se faire avant le 15 août 2020.
➡️ Suspension également du paiement des impôts synthétiques jusqu'au 15 août 2020.
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/","🔥🔥🔥 A l'occasion de la rencontre entre le Président Andry Rajoelina et les membres du secteur privé ce mercredi, le Premier ministre Christian Ntsay a annoncé quelques mesures dans le cadre du soutien aux entreprises. Parmi ces mesures :
➡️ Suspension de l'acompte provisionnel au titre de l'impôt sur le revenu, de l'IRSA et de la TVA. Les déclarations doivent en revanche se faire avant le 15 août 2020.
➡️ Suspension également du paiement des impôts synthétiques jusqu'au 15 août 2020.
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/",2020-06-17 21:11:43
2615266555410142,"✈️ L'ambassade de l'Inde à Madagascar a travaillé en étroite collaboration avec la compagnie Ethiopian Airlines afin de rapatrier des ressortissants indiens. Le vol charter affrété pour l'occasion est parti de l'aéroport international à Ivato ce mercredi.
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/","✈️ L'ambassade de l'Inde à Madagascar a travaillé en étroite collaboration avec la compagnie Ethiopian Airlines afin de rapatrier des ressortissants indiens. Le vol charter affrété pour l'occasion est parti de l'aéroport international à Ivato ce mercredi.
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/",2020-06-17 20:34:31
2615050192098445,"🔴🔴🔴 Mifindra eny Imerintsiatosika ny faran'ny zotra Miantsinanana (terminus des taxi-brousses), araka ny Naoty navoakan'ny Ivo-pibaikoana ny ady atao amin'ny Covid-19 ao amin'ny Faritra Itasy.
✔️✔️ Miverina misokatra ihany koa ny tsena fanao isan-kerinandro saingy ao anatin'ny fanajana ireo fepetra ara-pahasalamana.
Araho tsy tapaka ny vaovaon'i Madagasikara ao amin'ny https://actu.orange.mg/","🔴🔴🔴 Mifindra eny Imerintsiatosika ny faran'ny zotra Miantsinanana (terminus des taxi-brousses), araka ny Naoty navoakan'ny Ivo-pibaikoana ny ady atao amin'ny Covid-19 ao amin'ny Faritra Itasy.
✔️✔️ Miverina misokatra ihany koa ny tsena fanao isan-kerinandro saingy ao anatin'ny fanajana ireo fepetra ara-pahasalamana.
Araho tsy tapaka ny vaovaon'i Madagasikara ao amin'ny https://actu.orange.mg/",2020-06-17 15:46:05
2614963125440485,"🔥🔥🔥 61 nouveaux cas confirmés de Covid 19 annoncés ce mercredi 17 juin par le professeur Hanta Vololontiana, portant le nombre total de cas confirmés à 1378 depuis le début de l'épidémie.
🔴 52 cas sont localisés à Antananarivo, dont Ambanidia, Ampitatafika, Andohatapenaka, Tsaramasay, Bemasoandro Itaosy.
🔴 3 cas sont localisés à Antsirabe
🔴 2 cas sont localisés à Sainte Marie
🔴 2 cas sont localisés à Toamasina
🔴 1 cas est localisé à Tsiroanomandidy
🔴 1 cas est localisé à Moramanga
✅ 33 cas de guérison
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/","🔥🔥🔥 61 nouveaux cas confirmés de Covid 19 annoncés ce mercredi 17 juin par le professeur Hanta Vololontiana, portant le nombre total de cas confirmés à 1378 depuis le début de l'épidémie.
🔴 52 cas sont localisés à Antananarivo, dont Ambanidia, Ampitatafika, Andohatapenaka, Tsaramasay, Bemasoandro Itaosy.
🔴 3 cas sont localisés à Antsirabe
🔴 2 cas sont localisés à Sainte Marie
🔴 2 cas sont localisés à Toamasina
🔴 1 cas est localisé à Tsiroanomandidy
🔴 1 cas est localisé à Moramanga
✅ 33 cas de guérison
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/",2020-06-17 13:32:21
2614904568779674,"🔥🔥🔥 Orange Solidarité Madagascar a remis un don de kits de protection et de produits désinfectants destinés au personnel de santé de 4 CHU de référence à Antananarivo, de 2 CHU de Toamasina (et les centres aménagés), du CHD de Moramanga, ainsi qu’aux éléments de l’armée Malagasy, de la Police nationale et de la Gendarmerie nationale.
🔵 La Commune urbaine de Toamasina, la commune urbaine de Fianarantsoa ainsi que la commune urbaine de Fénérive Est bénéficient également d’un don de produits de première nécessité.
Pour en savoir plus ➡️ https://bit.ly/3fyA4qw
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/
Orange Solidarité Madagascar
June 16 at 5:49 PM ·
[🔔] Nous restons mobilisés aux côtés des acteurs en première ligne contre la Covid 19 à Madagascar. Merci à vous 🙏","🔥🔥🔥 Orange Solidarité Madagascar a remis un don de kits de protection et de produits désinfectants destinés au personnel de santé de 4 CHU de référence à Antananarivo, de 2 CHU de Toamasina (et les centres aménagés), du CHD de Moramanga, ainsi qu’aux éléments de l’armée Malagasy, de la Police nationale et de la Gendarmerie nationale.
🔵 La Commune urbaine de Toamasina, la commune urbaine de Fianarantsoa ainsi que la commune urbaine de Fénérive Est bénéficient également d’un don de produits de première nécessité.
Pour en savoir plus ➡️ https://bit.ly/3fyA4qw
L'actualité de Madagascar en continu sur https://actu.orange.mg/depeches/",2020-06-17 11:51:43
